,CustomerID,City,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Churn Label,Churn Score,CLTV,Churn Reason,has_internet
0,3668-QPYBK,Los Angeles,Male,No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,Yes,86,3239,Competitor made better offer,Yes
1,9237-HQITU,Los Angeles,Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,Yes,67,2701,Moved,Yes
2,9305-CDSKC,Los Angeles,Female,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,Yes,86,5372,Moved,Yes
3,7892-POOKP,Los Angeles,Female,No,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,Yes,84,5003,Moved,Yes
4,0280-XJGEX,Los Angeles,Male,No,No,Yes,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,Yes,89,5340,Competitor had better devices,Yes
5,4190-MFLUW,Los Angeles,Female,No,Yes,No,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,Yes,78,5925,Competitor offered higher download speeds,Yes
6,8779-QRDMV,Los Angeles,Male,Yes,No,No,1,No,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,Yes,100,5433,Competitor offered more data,Yes
7,1066-JKSGK,Los Angeles,Male,No,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.15,Yes,92,4832,Competitor made better offer,No
8,6467-CHFZW,Los Angeles,Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,Yes,77,5789,Competitor had better devices,Yes
9,8665-UTDHZ,Los Angeles,Male,No,Yes,No,1,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,Yes,97,2915,Competitor had better devices,Yes
10,8773-HHUOZ,Los Angeles,Female,No,No,No,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,Yes,74,3022,Competitor offered higher download speeds,Yes
